# host=n3015-007 job=1185581 date=2026-05-14T03:38:43+02:00
# binary=/home/fu92078/thesis/benchmarks/nccl_tests/nccl-tests-src/build/all_reduce_perf
# args=-b 1K -e 8G -f 2 -g 4 -n 50 -w 10 -c 1
# container=/home/fu92078/containers/pytorch_25.04-py3.sif
# nccl-tests commit=f727aa2
# nccl-tests version 2.18.3 nccl-headers=22603 nccl-library=22603
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 1024 maxBytes 8589934592 step: 2(factor) warmup iters: 10 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 177224 on  n3015-007 device  0 [0000:06:00] NVIDIA H100
#  Rank  1 Group  0 Pid 177224 on  n3015-007 device  1 [0000:26:00] NVIDIA H100
#  Rank  2 Group  0 Pid 177224 on  n3015-007 device  2 [0000:a6:00] NVIDIA H100
#  Rank  3 Group  0 Pid 177224 on  n3015-007 device  3 [0000:c6:00] NVIDIA H100
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
        1024           256     float     sum      -1    15.12    0.07    0.10       0    15.00    0.07    0.10       0
        2048           512     float     sum      -1    15.16    0.14    0.20       0    15.05    0.14    0.20       0
        4096          1024     float     sum      -1    15.25    0.27    0.40       0    14.91    0.27    0.41       0
        8192          2048     float     sum      -1    15.03    0.54    0.82       0    15.05    0.54    0.82       0
       16384          4096     float     sum      -1    15.02    1.09    1.64       0    15.08    1.09    1.63       0
       32768          8192     float     sum      -1    15.25    2.15    3.22       0    15.32    2.14    3.21       0
       65536         16384     float     sum      -1    15.58    4.21    6.31       0    15.52    4.22    6.33       0
      131072         32768     float     sum      -1    15.85    8.27   12.40       0    15.48    8.47   12.70       0
      262144         65536     float     sum      -1    16.25   16.14   24.20       0    16.19   16.19   24.29       0
      524288        131072     float     sum      -1    17.30   30.31   45.47       0    17.11   30.63   45.95       0
     1048576        262144     float     sum      -1    19.43   53.96   80.94       0    19.24   54.49   81.74       0
     2097152        524288     float     sum      -1    31.02   67.60  101.40       0    30.69   68.33  102.49       0
     4194304       1048576     float     sum      -1    43.49   96.45  144.68       0    42.92   97.73  146.59       0
     8388608       2097152     float     sum      -1    63.24  132.66  198.99       0    62.32  134.60  201.90       0
    16777216       4194304     float     sum      -1   104.73  160.20  240.30       0   102.55  163.61  245.41       0
    33554432       8388608     float     sum      -1   181.23  185.15  277.72       0   180.17  186.24  279.36       0
    67108864      16777216     float     sum      -1   338.55  198.22  297.34       0   337.10  199.08  298.62       0
   134217728      33554432     float     sum      -1   640.56  209.53  314.30       0   640.21  209.65  314.47       0
   268435456      67108864     float     sum      -1  1241.06  216.29  324.44       0  1240.87  216.33  324.49       0
   536870912     134217728     float     sum      -1  2442.97  219.76  329.64       0  2441.54  219.89  329.84       0
  1073741824     268435456     float     sum      -1  4821.89  222.68  334.02       0  4827.65  222.42  333.62       0
  2147483648     536870912     float     sum      -1  9615.90  223.33  334.99       0  9617.84  223.28  334.92       0
  4294967296    1073741824     float     sum      -1  19217.3  223.49  335.24       0  19229.9  223.35  335.02       0
  8589934592    2147483648     float     sum      -1  38410.9  223.63  335.45       0  38404.5  223.67  335.51       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 156.33 
#
# Collective test concluded: all_reduce_perf
#

