# host=n3015-007 job=1185581 date=2026-05-14T03:40:17+02:00
# binary=/home/fu92078/thesis/benchmarks/nccl_tests/nccl-tests-src/build/alltoall_perf
# args=-b 1K -e 8G -f 2 -g 4 -n 50 -w 10 -c 1
# container=/home/fu92078/containers/pytorch_25.04-py3.sif
# nccl-tests commit=f727aa2
# nccl-tests version 2.18.3 nccl-headers=22603 nccl-library=22603
# Collective test starting: alltoall_perf
# nThread 1 nGpus 4 minBytes 1024 maxBytes 8589934592 step: 2(factor) warmup iters: 10 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 179231 on  n3015-007 device  0 [0000:06:00] NVIDIA H100
#  Rank  1 Group  0 Pid 179231 on  n3015-007 device  1 [0000:26:00] NVIDIA H100
#  Rank  2 Group  0 Pid 179231 on  n3015-007 device  2 [0000:a6:00] NVIDIA H100
#  Rank  3 Group  0 Pid 179231 on  n3015-007 device  3 [0000:c6:00] NVIDIA H100
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
        1024            64     float    none      -1    18.01    0.06    0.04       0    17.27    0.06    0.04    N/A
        2048           128     float    none      -1    17.72    0.12    0.09       0    17.35    0.12    0.09    N/A
        4096           256     float    none      -1    17.51    0.23    0.18       0    17.25    0.24    0.18    N/A
        8192           512     float    none      -1    17.61    0.47    0.35       0    17.34    0.47    0.35    N/A
       16384          1024     float    none      -1    17.62    0.93    0.70       0    17.28    0.95    0.71    N/A
       32768          2048     float    none      -1    17.63    1.86    1.39       0    17.36    1.89    1.42    N/A
       65536          4096     float    none      -1    18.10    3.62    2.72       0    17.90    3.66    2.75    N/A
      131072          8192     float    none      -1    19.02    6.89    5.17       0    18.38    7.13    5.35    N/A
      262144         16384     float    none      -1    20.91   12.53    9.40       0    20.52   12.78    9.58    N/A
      524288         32768     float    none      -1    21.06   24.89   18.67       0    20.64   25.40   19.05    N/A
     1048576         65536     float    none      -1    21.18   49.50   37.13       0    21.53   48.70   36.53    N/A
     2097152        131072     float    none      -1    21.82   96.13   72.10       0    21.17   99.07   74.31    N/A
     4194304        262144     float    none      -1    27.45  152.78  114.58       0    24.64  170.23  127.67    N/A
     8388608        524288     float    none      -1    43.91  191.05  143.28       0    37.39  224.35  168.26    N/A
    16777216       1048576     float    none      -1    77.90  215.37  161.53       0    62.34  269.11  201.83    N/A
    33554432       2097152     float    none      -1   130.73  256.67  192.50       0   106.31  315.64  236.73    N/A
    67108864       4194304     float    none      -1   225.58  297.50  223.12       0   184.62  363.51  272.63    N/A
   134217728       8388608     float    none      -1   403.36  332.75  249.56       0   342.36  392.04  294.03    N/A
   268435456      16777216     float    none      -1   758.53  353.89  265.42       0   658.24  407.81  305.86    N/A
   536870912      33554432     float    none      -1  1469.85  365.26  273.94       0  1282.51  418.61  313.96    N/A
  1073741824      67108864     float    none      -1  2944.78  364.63  273.47       0  3169.47  338.78  254.08    N/A
  2147483648     134217728     float    none      -1  5826.99  368.54  276.41       0  6276.29  342.16  256.62    N/A
  4294967296     268435456     float    none      -1  11568.1  371.28  278.46       0  12467.2  344.50  258.38    N/A
  8589934592     536870912     float    none      -1  23053.5  372.61  279.46       0  24872.5  345.36  259.02    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 124.564 
#
# Collective test concluded: alltoall_perf
#

