# host=n3015-007 job=1185581 date=2026-05-14T03:39:23+02:00
# binary=/home/fu92078/thesis/benchmarks/nccl_tests/nccl-tests-src/build/reduce_scatter_perf
# args=-b 1K -e 8G -f 2 -g 4 -n 50 -w 10 -c 1
# container=/home/fu92078/containers/pytorch_25.04-py3.sif
# nccl-tests commit=f727aa2
# nccl-tests version 2.18.3 nccl-headers=22603 nccl-library=22603
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 4 minBytes 1024 maxBytes 8589934592 step: 2(factor) warmup iters: 10 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 178146 on  n3015-007 device  0 [0000:06:00] NVIDIA H100
#  Rank  1 Group  0 Pid 178146 on  n3015-007 device  1 [0000:26:00] NVIDIA H100
#  Rank  2 Group  0 Pid 178146 on  n3015-007 device  2 [0000:a6:00] NVIDIA H100
#  Rank  3 Group  0 Pid 178146 on  n3015-007 device  3 [0000:c6:00] NVIDIA H100
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
        1024            64     float     sum      -1    14.52    0.07    0.05       0    14.68    0.07    0.05       0
        2048           128     float     sum      -1    14.54    0.14    0.11       0    14.74    0.14    0.10       0
        4096           256     float     sum      -1    14.59    0.28    0.21       0    14.60    0.28    0.21       0
        8192           512     float     sum      -1    16.24    0.50    0.38       0    14.63    0.56    0.42       0
       16384          1024     float     sum      -1    14.55    1.13    0.84       0    14.40    1.14    0.85       0
       32768          2048     float     sum      -1    14.71    2.23    1.67       0    14.66    2.24    1.68       0
       65536          4096     float     sum      -1    14.88    4.40    3.30       0    14.95    4.38    3.29       0
      131072          8192     float     sum      -1    15.32    8.55    6.41       0    15.23    8.61    6.46       0
      262144         16384     float     sum      -1    15.97   16.41   12.31       0    16.00   16.38   12.29       0
      524288         32768     float     sum      -1    16.48   31.82   23.86       0    16.76   31.29   23.47       0
     1048576         65536     float     sum      -1    17.17   61.08   45.81       0    16.92   61.97   46.48       0
     2097152        131072     float     sum      -1    18.72  112.04   84.03       0    18.86  111.20   83.40       0
     4194304        262144     float     sum      -1    42.77   98.06   73.55       0    42.61   98.42   73.82       0
     8388608        524288     float     sum      -1    45.14  185.82  139.36       0    45.02  186.32  139.74       0
    16777216       1048576     float     sum      -1    63.94  262.40  196.80       0    63.63  263.69  197.77       0
    33554432       2097152     float     sum      -1   106.59  314.79  236.09       0   105.48  318.12  238.59       0
    67108864       4194304     float     sum      -1   195.81  342.72  257.04       0   194.64  344.79  258.59       0
   134217728       8388608     float     sum      -1   362.43  370.32  277.74       0   359.68  373.16  279.87       0
   268435456      16777216     float     sum      -1   700.67  383.11  287.33       0   695.61  385.90  289.42       0
   536870912      33554432     float     sum      -1  1357.51  395.48  296.61       0  1350.32  397.59  298.19       0
  1073741824      67108864     float     sum      -1  2661.19  403.48  302.61       0  2650.06  405.18  303.88       0
  2147483648     134217728     float     sum      -1  5238.16  409.97  307.48       0  5207.92  412.35  309.26       0
  4294967296     268435456     float     sum      -1  10310.5  416.56  312.42       0  10296.8  417.12  312.84       0
  8589934592     536870912     float     sum      -1  20410.9  420.85  315.64       0  20382.4  421.44  316.08       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 132.884 
#
# Collective test concluded: reduce_scatter_perf
#

