# host=n3015-007 job=1185581 date=2026-05-14T03:40:33+02:00
# binary=/home/fu92078/thesis/benchmarks/nccl_tests/nccl-tests-src/build/sendrecv_perf
# args=-b 1K -e 8G -f 2 -g 4 -n 50 -w 10 -c 1
# container=/home/fu92078/containers/pytorch_25.04-py3.sif
# nccl-tests commit=f727aa2
# nccl-tests version 2.18.3 nccl-headers=22603 nccl-library=22603
# Collective test starting: sendrecv_perf
# nThread 1 nGpus 4 minBytes 1024 maxBytes 8589934592 step: 2(factor) warmup iters: 10 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 179418 on  n3015-007 device  0 [0000:06:00] NVIDIA H100
#  Rank  1 Group  0 Pid 179418 on  n3015-007 device  1 [0000:26:00] NVIDIA H100
#  Rank  2 Group  0 Pid 179418 on  n3015-007 device  2 [0000:a6:00] NVIDIA H100
#  Rank  3 Group  0 Pid 179418 on  n3015-007 device  3 [0000:c6:00] NVIDIA H100
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
        1024           256     float     sum      -1    15.08    0.07    0.07       0    14.80    0.07    0.07    N/A
        2048           512     float     sum      -1    15.01    0.14    0.14       0    14.89    0.14    0.14    N/A
        4096          1024     float     sum      -1    14.96    0.27    0.27       0    14.99    0.27    0.27    N/A
        8192          2048     float     sum      -1    14.98    0.55    0.55       0    14.95    0.55    0.55    N/A
       16384          4096     float     sum      -1    15.13    1.08    1.08       0    15.16    1.08    1.08    N/A
       32768          8192     float     sum      -1    15.45    2.12    2.12       0    15.60    2.10    2.10    N/A
       65536         16384     float     sum      -1    16.41    3.99    3.99       0    16.35    4.01    4.01    N/A
      131072         32768     float     sum      -1    16.09    8.15    8.15       0    15.88    8.25    8.25    N/A
      262144         65536     float     sum      -1    16.07   16.31   16.31       0    16.31   16.07   16.07    N/A
      524288        131072     float     sum      -1    16.38   32.00   32.00       0    16.24   32.28   32.28    N/A
     1048576        262144     float     sum      -1    23.37   44.88   44.88       0    23.39   44.83   44.83    N/A
     2097152        524288     float     sum      -1    36.08   58.12   58.12       0    35.65   58.83   58.83    N/A
     4194304       1048576     float     sum      -1    59.38   70.63   70.63       0    59.79   70.15   70.15    N/A
     8388608       2097152     float     sum      -1    96.14   87.25   87.25       0    95.98   87.40   87.40    N/A
    16777216       4194304     float     sum      -1   171.24   97.97   97.97       0   167.10  100.40  100.40    N/A
    33554432       8388608     float     sum      -1   314.00  106.86  106.86       0   312.63  107.33  107.33    N/A
    67108864      16777216     float     sum      -1   584.21  114.87  114.87       0   585.70  114.58  114.58    N/A
   134217728      33554432     float     sum      -1  1128.90  118.89  118.89       0  1128.21  118.97  118.97    N/A
   268435456      67108864     float     sum      -1  2194.12  122.34  122.34       0  2183.90  122.92  122.92    N/A
   536870912     134217728     float     sum      -1  4379.15  122.60  122.60       0  4354.03  123.30  123.30    N/A
  1073741824     268435456     float     sum      -1  8642.85  124.23  124.23       0  8658.08  124.02  124.02    N/A
  2147483648     536870912     float     sum      -1  18541.8  115.82  115.82       0  17290.4  124.20  124.20    N/A
  4294967296    1073741824     float     sum      -1  37529.0  114.44  114.44       0  34222.3  125.50  125.50    N/A
  8589934592    2147483648     float     sum      -1  68415.6  125.56  125.56       0  75534.6  113.72  113.72    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 62.2943 
#
# Collective test concluded: sendrecv_perf
#

