collective,size_bytes,size_KiB,count,dtype,redop,root,nccl_time_us_oop,nccl_algbw_GBs_oop,nccl_busbw_GBs_oop,nccl_wrong_oop,nccl_time_us_ip,nccl_algbw_GBs_ip,nccl_busbw_GBs_ip,nccl_wrong_ip,sim_time_us,sim_algbw_GBs,sim_busbw_GBs,sim_minus_nccl_oop_us,sim_minus_nccl_ip_us,err_pct_vs_oop,err_pct_vs_ip
all_reduce,1024,1,256,float,sum,-1,15.12,0.070,0.100,0,15.00,0.070,0.100,0,19.60,0.052,0.078,4.48,4.60,+29.63,+30.67
all_reduce,2048,2,512,float,sum,-1,15.16,0.140,0.200,0,15.05,0.140,0.200,0,19.60,0.104,0.157,4.44,4.55,+29.29,+30.23
all_reduce,4096,4,1024,float,sum,-1,15.25,0.270,0.400,0,14.91,0.270,0.410,0,19.60,0.209,0.313,4.35,4.69,+28.52,+31.46
all_reduce,8192,8,2048,float,sum,-1,15.03,0.540,0.820,0,15.05,0.540,0.820,0,19.61,0.418,0.627,4.58,4.56,+30.49,+30.32
all_reduce,16384,16,4096,float,sum,-1,15.02,1.090,1.640,0,15.08,1.090,1.630,0,19.64,0.834,1.251,4.62,4.56,+30.75,+30.23
all_reduce,32768,32,8192,float,sum,-1,15.25,2.150,3.220,0,15.32,2.140,3.210,0,19.68,1.665,2.498,4.43,4.36,+29.04,+28.45
all_reduce,65536,64,16384,float,sum,-1,15.58,4.210,6.310,0,15.52,4.220,6.330,0,19.77,3.314,4.971,4.19,4.25,+26.92,+27.41
all_reduce,131072,128,32768,float,sum,-1,15.85,8.270,12.400,0,15.48,8.470,12.700,0,19.96,6.566,9.850,4.11,4.48,+25.94,+28.95
all_reduce,262144,256,65536,float,sum,-1,16.25,16.140,24.200,0,16.19,16.190,24.290,0,20.32,12.900,19.349,4.07,4.13,+25.06,+25.52
all_reduce,524288,512,131072,float,sum,-1,17.30,30.310,45.470,0,17.11,30.630,45.950,0,21.07,24.877,37.316,3.77,3.96,+21.82,+23.17
all_reduce,1048576,1024,262144,float,sum,-1,19.43,53.960,80.940,0,19.24,54.490,81.740,0,22.58,46.436,69.654,3.15,3.34,+16.22,+17.36
all_reduce,2097152,2048,524288,float,sum,-1,31.02,67.600,101.400,0,30.69,68.330,102.490,0,25.58,81.984,122.976,-5.44,-5.11,-17.54,-16.65
all_reduce,4194304,4096,1048576,float,sum,-1,43.49,96.450,144.680,0,42.92,97.730,146.590,0,31.57,132.845,199.267,-11.92,-11.35,-27.40,-26.44
all_reduce,8388608,8192,2097152,float,sum,-1,63.24,132.660,198.990,0,62.32,134.600,201.900,0,44.07,190.360,285.540,-19.17,-18.25,-30.32,-29.29
all_reduce,16777216,16384,4194304,float,sum,-1,104.73,160.200,240.300,0,102.55,163.610,245.410,0,80.42,208.620,312.930,-24.31,-22.13,-23.21,-21.58
all_reduce,33554432,32768,8388608,float,sum,-1,181.23,185.150,277.720,0,180.17,186.240,279.360,0,158.54,211.646,317.470,-22.69,-21.63,-12.52,-12.01
all_reduce,67108864,65536,16777216,float,sum,-1,338.55,198.220,297.340,0,337.10,199.080,298.620,0,314.78,213.193,319.789,-23.77,-22.32,-7.02,-6.62
all_reduce,134217728,131072,33554432,float,sum,-1,640.56,209.530,314.300,0,640.21,209.650,314.470,0,627.28,213.966,320.950,-13.28,-12.93,-2.07,-2.02
all_reduce,268435456,262144,67108864,float,sum,-1,1241.06,216.290,324.440,0,1240.87,216.330,324.490,0,1252.29,214.355,321.533,11.23,11.42,+0.91,+0.92
all_reduce,536870912,524288,134217728,float,sum,-1,2442.97,219.760,329.640,0,2441.54,219.890,329.840,0,2502.28,214.552,321.829,59.31,60.74,+2.43,+2.49
all_reduce,1073741824,1048576,268435456,float,sum,-1,4821.89,222.680,334.020,0,4827.65,222.420,333.620,0,5002.29,214.650,321.975,180.40,174.64,+3.74,+3.62
all_reduce,2147483648,2097152,536870912,float,sum,-1,9615.90,223.330,334.990,0,9617.84,223.280,334.920,0,10002.28,214.699,322.049,386.38,384.44,+4.02,+4.00
all_reduce,4294967296,4194304,1073741824,float,sum,-1,19217.30,223.490,335.240,0,19229.90,223.350,335.020,0,20002.29,214.724,322.086,784.99,772.39,+4.08,+4.02
all_reduce,8589934592,8388608,2147483648,float,sum,-1,38410.90,223.630,335.450,0,38404.50,223.670,335.510,0,40002.28,214.736,322.104,1591.38,1597.78,+4.14,+4.16
all_gather,1024,1,64,float,none,-1,15.10,0.070,0.050,0,14.91,0.070,0.050,0,10.60,0.097,0.072,-4.50,-4.31,-29.80,-28.91
all_gather,2048,2,128,float,none,-1,14.92,0.140,0.100,0,14.82,0.140,0.100,0,10.60,0.193,0.145,-4.32,-4.22,-28.95,-28.48
all_gather,4096,4,256,float,none,-1,14.81,0.280,0.210,0,14.92,0.270,0.210,0,10.60,0.386,0.290,-4.21,-4.32,-28.43,-28.95
all_gather,8192,8,512,float,none,-1,15.05,0.540,0.410,0,14.84,0.550,0.410,0,10.61,0.772,0.579,-4.44,-4.23,-29.52,-28.52
all_gather,16384,16,1024,float,none,-1,14.87,1.100,0.830,0,14.80,1.110,0.830,0,10.62,1.543,1.157,-4.25,-4.18,-28.57,-28.24
all_gather,32768,32,2048,float,none,-1,15.14,2.160,1.620,0,14.97,2.190,1.640,0,10.64,3.079,2.309,-4.50,-4.33,-29.71,-28.91
all_gather,65536,64,4096,float,none,-1,15.47,4.240,3.180,0,15.25,4.300,3.220,0,10.68,6.134,4.601,-4.79,-4.57,-30.94,-29.94
all_gather,131072,128,8192,float,none,-1,15.64,8.380,6.280,0,15.23,8.610,6.450,0,10.78,12.164,9.123,-4.87,-4.46,-31.11,-29.25
all_gather,262144,256,16384,float,none,-1,16.19,16.190,12.140,0,16.25,16.130,12.100,0,10.95,23.940,17.955,-5.24,-5.30,-32.37,-32.62
all_gather,524288,512,32768,float,none,-1,16.94,30.940,23.210,0,16.94,30.950,23.210,0,11.31,46.368,34.776,-5.63,-5.63,-33.25,-33.25
all_gather,1048576,1024,65536,float,none,-1,17.21,60.940,45.700,0,17.18,61.050,45.790,0,12.02,87.229,65.422,-5.19,-5.16,-30.15,-30.03
all_gather,2097152,2048,131072,float,none,-1,19.80,105.930,79.450,0,18.69,112.220,84.160,0,13.44,156.015,117.011,-6.36,-5.25,-32.11,-28.08
all_gather,4194304,4096,262144,float,none,-1,43.29,96.890,72.670,0,42.75,98.110,73.580,0,16.29,257.461,193.096,-27.00,-26.46,-62.37,-61.89
all_gather,8388608,8192,524288,float,none,-1,47.89,175.170,131.380,0,46.79,179.300,134.470,0,22.50,372.877,279.658,-25.39,-24.29,-53.02,-51.92
all_gather,16777216,16384,1048576,float,none,-1,67.27,249.410,187.050,0,64.58,259.780,194.830,0,41.36,405.639,304.229,-25.91,-23.22,-38.52,-35.96
all_gather,33554432,32768,2097152,float,none,-1,109.13,307.470,230.600,0,107.52,312.080,234.060,0,80.42,417.240,312.930,-28.71,-27.10,-26.31,-25.20
all_gather,67108864,65536,4194304,float,none,-1,195.93,342.510,256.880,0,191.54,350.360,262.770,0,158.54,423.293,317.470,-37.39,-33.00,-19.08,-17.23
all_gather,134217728,131072,8388608,float,none,-1,360.06,372.770,279.580,0,355.97,377.040,282.780,0,314.79,426.370,319.777,-45.27,-41.18,-12.57,-11.57
all_gather,268435456,262144,16777216,float,none,-1,688.81,389.710,292.280,0,682.24,393.460,295.100,0,627.30,427.925,320.944,-61.51,-54.94,-8.93,-8.05
all_gather,536870912,524288,33554432,float,none,-1,1339.57,400.780,300.580,0,1325.76,404.950,303.710,0,1252.29,428.711,321.533,-87.28,-73.47,-6.52,-5.54
