File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 36016 (100.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 36016 (100.00%), 36016
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
layer_1024,test1,0.001000,0.001000,0.001000,9.331000,0.000000,0.000000,9.331000,0.408820,0.306615,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_2048,test1,0.001000,0.001000,0.001000,9.331000,0.000000,0.000000,9.331000,0.408820,0.306615,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_4096,test1,0.001000,0.001000,0.001000,9.331000,0.000000,0.000000,9.331000,0.408820,0.306615,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_8192,test1,0.001000,0.001000,0.001000,9.340000,0.000000,0.000000,9.340000,0.816852,0.612639,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_16384,test1,0.001000,0.001000,0.001000,9.349000,0.000000,0.000000,9.349000,1.632131,1.224098,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_32768,test1,0.001000,0.001000,0.001000,9.376000,0.000000,0.000000,9.376000,3.254861,2.441146,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_65536,test1,0.001000,0.001000,0.001000,9.430000,0.000000,0.000000,9.430000,6.472445,4.854334,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_131072,test1,0.001000,0.001000,0.001000,9.561000,0.000000,0.000000,9.561000,12.767526,9.575644,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_262144,test1,0.001000,0.001000,0.001000,9.846000,0.000000,0.000000,9.846000,24.795919,18.596939,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_524288,test1,0.001000,0.001000,0.001000,10.402000,0.000000,0.000000,10.402000,46.941093,35.205818,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_1048576,test1,0.001000,0.001000,0.001000,11.548000,0.000000,0.000000,11.548000,84.565506,63.424129,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_2097152,test1,0.001000,0.001000,0.001000,13.690000,0.000000,0.000000,13.690000,142.667999,107.000999,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_4194304,test1,0.001000,0.001000,0.001000,18.124000,0.000000,0.000000,18.124000,215.529129,161.646851,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_8388608,test1,0.001000,0.001000,0.001000,26.842000,0.000000,0.000000,26.842000,291.055054,218.291290,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_16777216,test1,0.001000,0.001000,0.001000,44.278000,0.000000,0.000000,44.278000,352.884064,264.663055,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_33554432,test1,0.001000,0.001000,0.001000,79.306000,0.000000,0.000000,79.306000,394.043335,295.532501,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_67108864,test1,0.001000,0.001000,0.001000,149.206000,0.000000,0.000000,149.206000,418.883972,314.162964,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_134217728,test1,0.001000,0.001000,0.001000,289.012000,0.000000,0.000000,289.012000,432.507996,324.380981,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_268435456,test1,0.001000,0.001000,0.001000,568.624000,0.000000,0.000000,568.624000,439.657837,329.743378,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_536870912,test1,0.001000,0.001000,0.001000,1127.842000,0.000000,0.000000,1127.842000,443.324493,332.493378,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_1073741824,test1,0.001000,0.001000,0.001000,2246.284000,0.000000,0.000000,2246.284000,445.179688,333.884766,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_2147483648,test1,0.001000,0.001000,0.001000,4483.318000,0.000000,0.000000,4483.318000,446.098175,334.573639,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_4294967296,test1,0.001000,0.001000,0.001000,8957.230000,0.000000,0.000000,8957.230000,446.566620,334.924957,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
layer_8589934592,test1,0.001000,0.001000,0.001000,17905.054000,0.000000,0.000000,17905.054000,446.801208,335.100891,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36015.799000
SUM,test1,0.024000,0.024000,0.024000,36015.655000,0.000000,0.000000,36015.655000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,36015.727000,total comp,0.072000,total time,36015.799000
