File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 72031 (100.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 72031 (100.00%), 72031
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
layer_1024,test1,0.001000,0.001000,0.001000,18.661000,0.000000,0.000000,18.661000,0.204421,0.306631,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_2048,test1,0.001000,0.001000,0.001000,18.661000,0.000000,0.000000,18.661000,0.204421,0.306631,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_4096,test1,0.001000,0.001000,0.001000,18.661000,0.000000,0.000000,18.661000,0.204421,0.306631,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_8192,test1,0.001000,0.001000,0.001000,18.676000,0.000000,0.000000,18.676000,0.408513,0.612770,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_16384,test1,0.001000,0.001000,0.001000,18.691000,0.000000,0.000000,18.691000,0.816371,1.224556,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_32768,test1,0.001000,0.001000,0.001000,18.736000,0.000000,0.000000,18.736000,1.628820,2.443230,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_65536,test1,0.001000,0.001000,0.001000,18.826000,0.000000,0.000000,18.826000,3.242067,4.863101,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_131072,test1,0.001000,0.001000,0.001000,19.071000,0.000000,0.000000,19.071000,6.400835,9.601252,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_262144,test1,0.001000,0.001000,0.001000,19.641000,0.000000,0.000000,19.641000,12.430153,18.645229,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_524288,test1,0.001000,0.001000,0.001000,20.755000,0.000000,0.000000,20.755000,23.525957,35.288937,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_1048576,test1,0.001000,0.001000,0.001000,23.074000,0.000000,0.000000,23.074000,42.323071,63.484604,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_2097152,test1,0.001000,0.001000,0.001000,27.337000,0.000000,0.000000,27.337000,71.446205,107.169312,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_4194304,test1,0.001000,0.001000,0.001000,36.238000,0.000000,0.000000,36.238000,107.794304,161.691452,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_8388608,test1,0.001000,0.001000,0.001000,53.665000,0.000000,0.000000,53.665000,145.579056,218.368591,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_16777216,test1,0.001000,0.001000,0.001000,88.519000,0.000000,0.000000,88.519000,176.515778,264.773682,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_33554432,test1,0.001000,0.001000,0.001000,158.611000,0.000000,0.000000,158.611000,197.022903,295.534363,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_67108864,test1,0.001000,0.001000,0.001000,298.411000,0.000000,0.000000,298.411000,209.442688,314.164032,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_134217728,test1,0.001000,0.001000,0.001000,578.020000,0.000000,0.000000,578.020000,216.255493,324.383240,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_268435456,test1,0.001000,0.001000,0.001000,1137.238000,0.000000,0.000000,1137.238000,219.830856,329.746277,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_536870912,test1,0.001000,0.001000,0.001000,2255.665000,0.000000,0.000000,2255.665000,221.664124,332.496185,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_1073741824,test1,0.001000,0.001000,0.001000,4492.528000,0.000000,0.000000,4492.528000,222.591827,333.887756,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_2147483648,test1,0.001000,0.001000,0.001000,8966.629000,0.000000,0.000000,8966.629000,223.049271,334.573914,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_4294967296,test1,0.001000,0.001000,0.001000,17914.447000,0.000000,0.000000,17914.447000,223.283478,334.925232,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
layer_8589934592,test1,0.001000,0.001000,0.001000,35810.083000,0.000000,0.000000,35810.083000,223.400772,335.101166,0.000000,-nan,0.000000,0.000000,-nan,0.000000,72030.988000
SUM,test1,0.024000,0.024000,0.024000,72030.844000,0.000000,0.000000,72030.844000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,72030.916000,total comp,0.072000,total time,72030.988000
