File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 36017 (100.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 36017 (100.00%), 36017
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
layer_1024,test1,0.001000,0.001000,0.001000,9.391000,0.000000,0.000000,9.391000,0.406208,0.304656,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_2048,test1,0.001000,0.001000,0.001000,9.391000,0.000000,0.000000,9.391000,0.406208,0.304656,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_4096,test1,0.001000,0.001000,0.001000,9.391000,0.000000,0.000000,9.391000,0.406208,0.304656,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_8192,test1,0.001000,0.001000,0.001000,9.400000,0.000000,0.000000,9.400000,0.811638,0.608728,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_16384,test1,0.001000,0.001000,0.001000,9.409000,0.000000,0.000000,9.409000,1.621723,1.216292,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_32768,test1,0.001000,0.001000,0.001000,9.436000,0.000000,0.000000,9.436000,3.234165,2.425623,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_65536,test1,0.001000,0.001000,0.001000,9.490000,0.000000,0.000000,9.490000,6.431523,4.823643,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_131072,test1,0.001000,0.001000,0.001000,9.621000,0.000000,0.000000,9.621000,12.687902,9.515926,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_262144,test1,0.001000,0.001000,0.001000,9.906000,0.000000,0.000000,9.906000,24.645733,18.484299,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_524288,test1,0.001000,0.001000,0.001000,10.462000,0.000000,0.000000,10.462000,46.671883,35.003914,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_1048576,test1,0.001000,0.001000,0.001000,11.608000,0.000000,0.000000,11.608000,84.128403,63.096302,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_2097152,test1,0.001000,0.001000,0.001000,13.750000,0.000000,0.000000,13.750000,142.045456,106.534088,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_4194304,test1,0.001000,0.001000,0.001000,18.184000,0.000000,0.000000,18.184000,214.817978,161.113480,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_8388608,test1,0.001000,0.001000,0.001000,26.902000,0.000000,0.000000,26.902000,290.405914,217.804443,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_16777216,test1,0.001000,0.001000,0.001000,44.338000,0.000000,0.000000,44.338000,352.406525,264.304901,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_33554432,test1,0.001000,0.001000,0.001000,79.366000,0.000000,0.000000,79.366000,393.745422,295.309082,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_67108864,test1,0.001000,0.001000,0.001000,149.266000,0.000000,0.000000,149.266000,418.715576,314.036682,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_134217728,test1,0.001000,0.001000,0.001000,289.072000,0.000000,0.000000,289.072000,432.418213,324.313660,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_268435456,test1,0.001000,0.001000,0.001000,568.684000,0.000000,0.000000,568.684000,439.611450,329.708588,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_536870912,test1,0.001000,0.001000,0.001000,1127.902000,0.000000,0.000000,1127.902000,443.300934,332.475708,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_1073741824,test1,0.001000,0.001000,0.001000,2246.344000,0.000000,0.000000,2246.344000,445.167786,333.875854,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_2147483648,test1,0.001000,0.001000,0.001000,4483.378000,0.000000,0.000000,4483.378000,446.092224,334.569153,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_4294967296,test1,0.001000,0.001000,0.001000,8957.290000,0.000000,0.000000,8957.290000,446.563629,334.922729,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
layer_8589934592,test1,0.001000,0.001000,0.001000,17905.114000,0.000000,0.000000,17905.114000,446.799713,335.099792,0.000000,-nan,0.000000,0.000000,-nan,0.000000,36017.239000
SUM,test1,0.024000,0.024000,0.024000,36017.095000,0.000000,0.000000,36017.095000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,36017.167000,total comp,0.072000,total time,36017.239000
